id,x,y,z
209,-220.05413818359375,-79.3333511352539,-13.355305671691895
209,-204.87741088867188,-70.27037048339844,-13.01391315460205
210,-219.95130920410156,-79.62983703613281,-13.341276168823242
210,-204.6777801513672,-70.57186889648438,-12.978156089782715
211,-198.12893676757812,-66.42230224609375,-12.811488151550293
211,-195.1460418701172,-64.58079528808594,-12.718372344970703
212,-188.81832885742188,-60.68287658691406,-12.548233032226562
212,-186.20968627929688,-59.156673431396484,-12.435758590698242
213,-180.2484130859375,-55.5790901184082,-12.287843704223633
213,-177.94015502929688,-54.205875396728516,-12.231237411499023
214,-172.3909149169922,-50.93095016479492,-12.049545288085938
214,-169.8788299560547,-49.66928482055664,-11.953055381774902
215,-162.6688995361328,-46.9155387878418,-11.723126411437988
215,-159.67117309570312,-46.250091552734375,-11.623706817626953
216,-153.67654418945312,-45.295814514160156,-11.411169052124023
216,-149.1871795654297,-45.12004852294922,-11.268159866333008
216,-145.7425994873047,-45.17505645751953,-11.094533920288086
217,-153.63209533691406,-45.57065963745117,-11.433023452758789
217,-149.134765625,-45.45689392089844,-11.251460075378418
217,-145.6551513671875,-45.46414566040039,-11.101027488708496
218,-138.44430541992188,-46.13473129272461,-10.843554496765137
218,-134.88856506347656,-47.04694747924805,-10.700106620788574
218,-131.69676208496094,-48.076969146728516,-10.570696830749512
218,-129.06895446777344,-49.140743255615234,-10.430333137512207
219,-138.83566284179688,-46.33451461791992,-10.810027122497559
219,-138.4888458251953,-46.41349792480469,-10.820785522460938
219,-134.80816650390625,-47.343299865722656,-10.680214881896973
219,-131.8390350341797,-48.36042022705078,-10.541955947875977
219,-129.08526611328125,-49.43389892578125,-10.432939529418945
220,-123.62612915039062,-51.987003326416016,-10.139102935791016
220,-120.15567779541016,-54.05112075805664,-9.97780990600586
221,-115.07980346679688,-57.71417999267578,-9.729132652282715
221,-112.32003021240234,-60.41805648803711,-9.574419975280762
222,-107.96222686767578,-65.55442810058594,-9.31666374206543
222,-105.75885772705078,-68.70889282226562,-9.190869331359863
223,-102.34186553955078,-74.80487823486328,-9.034165382385254
223,-101.26180267333984,-77.40777587890625,-8.956156730651855
