id,x,y,z
201,-143.84674072265625,-43.38875198364258,-11.136190414428711
201,-141.7727508544922,-42.46433639526367,-11.186283111572266
202,-143.848876953125,-44.49829864501953,-11.086630821228027
202,-139.2624969482422,-42.90938949584961,-11.005767822265625
203,-143.97872924804688,-45.98185348510742,-11.02142333984375
203,-139.14776611328125,-43.723045349121094,-10.98147964477539
204,-144.16217041015625,-47.07916259765625,-10.975334167480469
204,-139.52935791015625,-45.111114501953125,-10.894996643066406
205,-144.3626251220703,-48.10402297973633,-10.973434448242188
205,-139.59860229492188,-46.02302551269531,-10.872316360473633
206,-144.41139221191406,-49.163970947265625,-10.889673233032227
206,-139.98326110839844,-47.21495819091797,-10.804498672485352
207,-143.24493408203125,-50.09389877319336,-10.836837768554688
207,-140.02391052246094,-48.574031829833984,-10.73563289642334
208,-141.92819213867188,-50.60594177246094,-10.7457275390625
208,-140.2255096435547,-49.79365921020508,-10.72981071472168
