id,lane_id,x,y,z,point_id
1,1,-0.118093,0.0219169,0.0727468,1
2,1,-0.10613,0.054088,0.0769648,2
3,1,-0.109193,0.0262232,0.0899466,3
4,1,-0.120955,0.0296451,0.0712113,4
5,1,-0.117569,0.0301446,0.0747796,5
6,1,-0.122825,0.0579313,0.110905,6
7,1,-0.223817,0.217895,0.0993822,7
8,1,-0.435413,0.601956,0.0795335,8
9,1,-0.80103,1.13294,0.0382629,9
10,1,-1.31883,1.87463,0.0426644,10
11,1,-2.00556,2.90768,0.0333825,11
12,1,-2.77072,3.92896,-0.00955481,12
13,1,-3.40376,5.04899,-0.0941172,13
14,1,-4.06479,5.96649,-0.0698064,14
15,1,-4.61164,6.85117,-0.0506159,15
16,1,-5.14387,7.73635,-0.131515,16
17,1,-5.83989,8.81289,-0.185496,17
18,1,-6.65068,10.0163,-0.147617,18
19,1,-7.46432,11.1985,-0.21418,19
20,1,-8.16455,12.288,-0.185593,20
21,1,-8.81463,13.269,-0.217607,21
22,1,-9.50805,14.338,-0.199693,22
23,1,-10.2046,15.4346,-0.252672,23
24,1,-10.9027,16.5518,-0.284425,24
25,1,-11.7394,17.7787,-0.218182,25
26,1,-12.5231,19.0063,-0.278912,26
27,1,-13.2746,20.1522,-0.285101,27
28,1,-13.9406,21.1716,-0.319503,28
29,1,-14.4843,22.0556,-0.301987,29
30,1,-15.1213,22.9957,-0.34926,30
31,1,-15.8433,24.1233,-0.382841,31
32,1,-16.5329,25.1376,-0.375528,32
33,1,-17.3361,26.3975,-0.394513,33
34,1,-18.2649,27.7671,-0.409904,34
35,1,-19.3178,29.3045,-0.503884,35
36,1,-20.5922,30.7489,-0.511169,36
37,1,-22.2993,31.9446,-0.53951,37
38,1,-24.4473,32.6733,-0.570062,38
39,1,-26.8705,32.732,-0.659048,39
40,1,-29.238,32.0968,-0.675314,40
41,1,-31.5483,30.9219,-0.77006,41
42,1,-33.77,29.418,-0.87166,42
43,1,-35.8447,28.0436,-0.938106,43
44,1,-37.8468,26.7148,-0.963026,44
45,1,-39.8437,25.5003,-1.03071,45
46,1,-41.8233,24.6593,-1.08685,46
47,1,-43.8186,24.4013,-1.14014,47
48,1,-45.7078,24.6868,-1.22498,48
49,1,-47.3329,25.6116,-1.32996,49
50,1,-48.5731,27.0237,-1.40323,50
51,1,-49.7047,28.5581,-1.47066,51
52,1,-50.782,30.0944,-1.59625,52
53,1,-51.8344,31.5507,-1.68209,53
54,1,-52.8143,32.8595,-1.78931,54
55,1,-53.7467,33.948,-1.89948,55
56,1,-54.9972,34.8037,-1.93549,56
57,1,-56.6867,35.2204,-2.05339,57
58,1,-58.7096,34.9496,-2.13841,58
59,1,-61.1823,34.1317,-2.1958,59
60,1,-63.8854,32.6281,-2.26195,60
