id,lane_id,x,y,z,point_id
1,1,-66.6024,29.4911,-4.24523,1
2,1,-69.4898,27.5864,-4.27566,2
3,1,-72.4719,25.5932,-4.29745,3
4,1,-75.4465,23.6005,-4.33188,4
5,1,-78.4083,21.6964,-4.38565,5
6,1,-81.2301,20.2493,-4.46733,6
7,1,-83.9953,19.5217,-4.5375,7
8,1,-86.732,20.0212,-4.67635,8
9,1,-89.1884,21.7025,-4.85841,9
10,1,-91.1527,24.0691,-4.99982,10
11,1,-92.8756,26.5934,-5.07909,11
12,1,-94.6621,29.3135,-5.17341,12
13,1,-96.613,32.2593,-5.29817,13
14,1,-98.6921,35.2899,-5.44213,14
15,1,-100.677,38.1529,-5.5442,15
16,1,-102.522,40.9306,-5.68568,16
17,1,-104.405,43.8939,-5.82879,17
18,1,-106.394,47.0435,-5.9616,18
19,1,-108.487,50.2774,-6.11889,19
20,1,-110.638,53.6177,-6.27473,20
21,1,-113.012,57.2823,-6.47676,21
22,1,-115.496,61.1527,-6.65704,22
23,1,-118.133,65.1501,-6.89487,23
24,1,-120.846,69.1557,-7.10106,24
25,1,-123.498,73.0952,-7.33224,25
26,1,-125.691,76.428,-7.51432,26
27,1,-127.241,78.7911,-7.59112,27
28,1,-128.394,80.6106,-7.72765,28
29,1,-129.538,82.3524,-7.776,29
30,1,-130.738,84.2507,-7.98573,30
31,1,-132.123,86.4474,-8.10872,31
32,1,-133.585,88.8631,-8.28049,32
33,1,-134.816,91.476,-8.57135,33
34,1,-135.285,94.2662,-8.78103,34
35,1,-134.291,97.3956,-8.91532,35
36,1,-131.825,99.864,-8.78106,36
37,1,-128.703,101.071,-8.72651,37
38,1,-125.562,102.483,-8.57617,38
39,1,-121.722,104.486,-8.39702,39
40,1,-117.233,107.181,-8.17758,40
41,1,-112.299,110.375,-7.88056,41
42,1,-106.945,113.955,-7.69788,42
43,1,-101.27,117.752,-7.50075,43
44,1,-95.2874,121.691,-7.28699,44
45,1,-89.0935,125.794,-7.1316,45
46,1,-82.6044,130.044,-6.94835,46
47,1,-76.0946,134.307,-6.72635,47
48,1,-69.5737,138.601,-6.57337,48
49,1,-62.9608,142.952,-6.35081,49
50,1,-56.1893,147.39,-6.09465,50
51,1,-49.3494,151.846,-5.8981,51
52,1,-42.4039,156.344,-5.73632,52
